symbol,expiration,strike,right,dte,margin,undPrice,lot,undId,lo52,hi52,Fall,Rise,Std,loStd,hiStd,optId,optPrice,optMargin,rom,remqty,expPrice,expRom,qty
MSFT,20190621,80.0,P,37,801,125.05,100,272093,80.7,131.37,19.460000000000008,22.570000000000007,9.040936534443688,106.96812693111262,152.17280960333107,308820177,0.02,41.72000000000117,0.4729081910289831,3,0.07,1.6551786686014411,3
MSFT,20190621,75.0,P,37,801,125.05,100,272093,80.7,131.37,19.460000000000008,22.570000000000007,9.040936534443688,106.96812693111262,152.17280960333107,308820175,0.01,30.679999999993008,0.32154057577793715,3,0.07,2.2507840304455606,3
NFLX,20190621,175.0,P,37,2244,346.0,100,15124833,178.38,423.21,136.8,133.77,38.29787374275044,269.40425251449915,460.89362122825133,292902140,0.07,58.19000000000233,1.1866996744122924,1,0.12000000000000001,2.0343422989925015,1
NFLX,20190621,170.0,P,37,2244,346.0,100,15124833,178.38,423.21,136.8,133.77,38.29787374275044,269.40425251449915,460.89362122825133,292902137,0.06,52.69999999999709,1.123134519719022,1,0.11,2.059079952818207,1
NVDA,20190524,124.0,P,9,1029,162.44,100,4815747,124.46,292.76,78.12,46.0,9.135024934588612,144.16995013082277,189.84507480376584,365651078,0.63,179.4499999999971,14.23794928949591,3,0.68,15.367945264852729,1
NVDA,20190524,123.0,P,9,1029,162.44,100,4815747,124.46,292.76,78.12,46.0,9.135024934588612,144.16995013082277,189.84507480376584,365651068,0.57,173.9899999999907,13.28620418798086,3,0.62,14.451660695698482,1
NVDA,20190524,122.0,P,9,1029,162.44,100,4815747,124.46,292.76,78.12,46.0,9.135024934588612,144.16995013082277,189.84507480376584,365651062,0.52,168.36999999999534,12.52532451677227,3,0.5700000000000001,13.729682643384992,1
OXY,20190628,45.0,P,44,352,54.5,100,10880,53.51,87.67,20.240000000000002,23.4,4.220949075982894,46.05810184803421,67.16284722794867,365651705,0.26,66.83000000000176,3.2273203378993345,9,0.31,3.847958864418437,1
OXY,20190621,45.0,P,37,352,54.5,100,10880,53.51,87.67,18.960000000000008,23.259999999999998,4.220949075982894,46.05810184803421,67.16284722794867,361819715,0.19,62.94999999999709,2.9774810553207485,9,0.24,3.7610287014577874,1
PEP,20190621,95.0,P,37,826,127.56,100,11017,95.94,128.51,17.200000000000003,17.47,6.520970811735004,114.51805837652999,147.12291243520502,315291554,0.05,74.75999999999476,0.6597689181959308,3,0.1,1.3195378363918615,3
PEP,20190621,92.5,P,37,826,127.56,100,11017,95.94,128.51,17.200000000000003,17.47,6.520970811735004,114.51805837652999,147.12291243520502,315754064,0.03,66.08999999999651,0.4477923225086421,3,0.08,1.1941128600230455,3
PFE,20190621,33.0,P,37,263,40.72,100,11031,33.2,46.47,7.0,6.770000000000003,1.2739511234124092,38.17209775317518,44.54185337023723,308820694,0.06,37.89999999999418,1.5617200313772635,12,0.11,2.863153390858316,12
PFE,20190621,32.0,P,37,263,40.72,100,11031,33.2,46.47,7.0,6.770000000000003,1.2739511234124092,38.17209775317518,44.54185337023723,335014985,0.05,32.65999999998894,1.5102365071751693,12,0.1,3.0204730143503387,12
PFE,20190621,31.0,P,37,263,40.72,100,11031,33.2,46.47,7.0,6.770000000000003,1.2739511234124092,38.17209775317518,44.54185337023723,335014974,0.03,27.989999999990694,1.057327423887261,12,0.08,2.819539797032696,12
PM,20190621,57.5,P,37,544,84.01,100,49588376,64.67,111.25,29.430000000000007,21.97,7.758429335890093,68.49314132821982,107.28528800767029,348052746,0.12,45.52999999999884,2.6000083105289127,5,0.16999999999999998,3.683345106582626,1
PM,20190621,55.0,P,37,544,84.01,100,49588376,64.67,111.25,29.430000000000007,21.97,7.758429335890093,68.49314132821982,107.28528800767029,316236092,0.11,38.39999999999418,2.8258727477481766,5,0.16,4.110360360360983,1
PM,20190621,50.0,P,37,544,84.01,100,49588376,64.67,111.25,29.430000000000007,21.97,7.758429335890093,68.49314132821982,107.28528800767029,316236089,0.09,28.5399999999936,3.110854372242596,5,0.14,4.839106801266261,5
PYPL,20190621,65.0,P,37,694,109.4,100,199169591,68.61,113.69,19.040000000000006,19.340000000000003,9.145214893389939,91.10957021322012,136.83564468016982,319562736,0.04,29.33999999999651,1.3449031853941429,4,0.09,3.0260321671368215,4
QCOM,20190621,48.0,P,37,562,86.21,100,273544,48.56,90.34,20.440000000000005,35.800000000000004,14.030338690710272,58.14932261857945,128.3010160721308,352537042,0.02,17.55999999999767,1.1235609185496778,5,0.07,3.932463214923873,5
QCOM,20190621,46.0,P,37,562,86.21,100,273544,48.56,90.34,20.440000000000005,35.800000000000004,14.030338690710272,58.14932261857945,128.3010160721308,352537022,0.01,13.979999999995925,0.7056412635813835,5,0.07,4.939488845069684,5
QCOM,20190621,45.0,P,37,562,86.21,100,273544,48.56,90.34,20.440000000000005,35.800000000000004,14.030338690710272,58.14932261857945,128.3010160721308,315311564,0.01,12.339999999996508,0.7994217880767956,5,0.07,5.59595251653757,5
RTN,20190621,140.0,P,37,1160,177.88,100,11758,144.27,229.75,45.889999999999986,41.03,10.741826091964045,156.3963478160719,210.10547827589212,361850192,0.26,142.9499999999971,1.7942391499579693,2,0.31,2.139285140334502,1
RTN,20190621,135.0,P,37,1160,177.88,100,11758,144.27,229.75,45.889999999999986,41.03,10.741826091964045,156.3963478160719,210.10547827589212,361850172,0.2,123.1299999999901,1.602349527307018,2,0.25,2.0029369091337728,1
RTN,20190524,140.0,P,9,1160,177.88,100,11758,144.27,229.75,32.81,27.189999999999998,3.0832356167688633,171.71352876646228,187.12970685030658,360380045,0.01,112.22999999999591,0.36136109378559245,2,0.07,2.529527656499147,2
SLB,20190614,33.0,P,30,248,38.900000000000006,100,12200,34.99,80.35,17.360000000000007,18.339999999999996,2.7458642078467568,33.40827158430649,47.13759262354027,365451901,0.3,63.20999999999186,5.774402784370306,12,0.35,6.736803248432023,1
